sigla_uf,taxa_alfabetizacao,meta_ano,status_meta
BA,35.96,43.4,ABAIXO
SE,38.39,38.3,ATINGIU
RN,39.29,43.8,ABAIXO
RS,44.67,66.2,ABAIXO
AP,46.62,47.6,ABAIXO
PA,48.2,53.6,ABAIXO
AL,48.63,49.7,ABAIXO
AM,49.17,56.8,ABAIXO
TO,50.07,49.5,ATINGIU
AC,51.38,,SEM_META
RJ,55.25,56.7,ABAIXO
MS,55.87,52.8,ATINGIU
PB,55.96,55.9,ATINGIU
SP,58.13,56.6,ATINGIU
DF,59.13,,SEM_META
MA,59.64,60.3,ABAIXO
PI,59.82,57.0,ATINGIU
MT,60.59,59.2,ATINGIU
PE,60.79,62.4,ABAIXO
SC,62.02,64.5,ABAIXO
RO,62.62,67.1,ABAIXO
PR,70.42,74.2,ABAIXO
ES,71.69,69.9,ATINGIU
MG,72.07,63.2,ATINGIU
GO,72.74,68.9,ATINGIU
CE,85.31,80.0,ATINGIU
