id_municipio,codigo_uf,taxa_alfabetizacao,meta_ano,gap_meta_ano_pp,percentual_participacao,status_meta
4314209,43,22.3,69.69,-47.39,82.93,ABAIXO
4313953,43,25.7,73.69,-47.989999999999995,82.14,ABAIXO
3553658,35,27.27,75.76,-48.49000000000001,84.62,ABAIXO
1704600,17,6.25,54.93,-48.68,76.19,ABAIXO
4203105,42,27.3,76.16,-48.86,73.81,ABAIXO
4320354,43,23.5,74.77,-51.269999999999996,85.71,ABAIXO
1713601,17,19.71,71.56,-51.85,81.01,ABAIXO
4313334,43,28.0,80.0,-52.0,96.15,ABAIXO
4302584,43,27.3,80.0,-52.7,100.0,ABAIXO
4306700,43,26.7,80.0,-53.3,93.75,ABAIXO
4319208,43,7.1,61.56,-54.46,82.35,ABAIXO
4310850,43,25.0,80.0,-55.0,100.0,ABAIXO
4319752,43,25.0,80.0,-55.0,100.0,ABAIXO
4301073,43,18.2,80.0,-61.8,84.62,ABAIXO
4320453,43,11.1,80.0,-68.9,100.0,ABAIXO
